market_cap_rate,market_effective_rent_growth_12_mo,market_effective_rentunit,market_sale_price_growth,market_sale_price_per_unit,occupancy_rate,revenue,opex,noi,market,horizon,date_calculated,slice
0.076882392168045,0.0501071214675903,1667.63269042969,0.0387771668925063,122492.2969,0.791836977005005,0.0,,0.0,"Akron,Ohio",5 Yrs Ahead (2025-2030),2025-03-31,Class A
0.0753370299935341,0.0208622924983501,1702.42333984375,0.0555881656145057,129301.419,0.787005841732025,16077.80536269571,0.54,7395.790466840026,"Akron,Ohio",5 Yrs Ahead (2025-2030),2025-03-31,Class A
0.0739370286464691,0.0204957220703363,1737.31579589844,0.0487814796945485,135608.9335,0.779758095741272,16256.232680531997,0.54,7477.8670330447185,"Akron,Ohio",5 Yrs Ahead (2025-2030),2025-03-31,Class A
0.072737030684948,0.0150268785655499,1763.42224121094,0.0392775546944376,140935.3208,0.788912892341614,16694.23848879905,0.54,7679.349704847562,"Akron,Ohio",5 Yrs Ahead (2025-2030),2025-03-31,Class A
0.071337029337883,0.0109025118872523,1782.64794921875,0.0367978384441207,146121.436,0.789274632930756,16883.985669172725,0.54,7766.633407819453,"Akron,Ohio",5 Yrs Ahead (2025-2030),2025-03-31,Class A
0.069937027990818,0.0094018755480647,1799.408203125,0.0351325287938432,151255.0515,0.79025399684906,17063.874293790195,0.54,7849.382175143489,"Akron,Ohio",5 Yrs Ahead (2025-2030),2025-03-31,Class A
0.0793082416057587,0.0211430732160807,1377.32312011719,0.0615272278154093,98156.2062,0.934667885303497,0.0,,0.0,"Akron,Ohio",5 Yrs Ahead (2025-2030),2025-03-31,Class B
0.0777314901351929,0.0388660728931427,1430.85424804688,0.0621821504663996,104259.7701,0.940370559692383,16146.398520888819,0.54,7427.343319608856,"Akron,Ohio",5 Yrs Ahead (2025-2030),2025-03-31,Class B
0.0763314887881279,0.0310102850198746,1475.22546386719,0.0549839169193376,109992.3807,0.939788818359375,16636.80474601689,0.54,7652.9301831677685,"Akron,Ohio",5 Yrs Ahead (2025-2030),2025-03-31,Class B
0.0751314908266068,0.026269318535924,1513.97863769531,0.0462819992552612,115083.048,0.935911118984222,17003.393291083506,0.54,7821.560913898413,"Akron,Ohio",5 Yrs Ahead (2025-2030),2025-03-31,Class B
0.0737314894795418,0.0223319921642542,1547.78869628906,0.0440205591051696,120149.0681,0.933421850204468,17336.87746338835,0.54,7974.963633158641,"Akron,Ohio",5 Yrs Ahead (2025-2030),2025-03-31,Class B
0.0723314881324768,0.020319938659668,1579.23974609375,0.0420084670459161,125196.3463,0.932007133960724,17662.35251512437,0.54,8124.682156957209,"Akron,Ohio",5 Yrs Ahead (2025-2030),2025-03-31,Class B
0.0897039845585823,0.0353340096771717,936.439453125,0.0763496610833899,62085.0183,0.951436460018158,0.0,,0.0,"Akron,Ohio",5 Yrs Ahead (2025-2030),2025-03-31,Class C
0.0880774706602097,0.0304110981523991,964.917602539063,0.0584692440472812,65715.0824,0.946057438850403,10954.409709117324,0.54,5039.028466193969,"Akron,Ohio",5 Yrs Ahead (2025-2030),2025-03-31,Class C
0.0866774767637253,0.0315400213003159,995.351135253906,0.0532797603450634,69216.3663,0.947378873825073,11315.69565092824,0.54,5205.21999942699,"Akron,Ohio",5 Yrs Ahead (2025-2030),2025-03-31,Class C
0.0854774713516235,0.0271202512085438,1022.34533691406,0.0452166861147132,72346.101,0.946655690670013,11613.70837223576,0.54,5342.30585122845,"Akron,Ohio",5 Yrs Ahead (2025-2030),2025-03-31,Class C
0.0840774774551392,0.0232505016028881,1046.11535644531,0.0427252794488046,75437.1084,0.945310831069946,11866.850123956187,0.54,5458.751057019846,"Akron,Ohio",5 Yrs Ahead (2025-2030),2025-03-31,Class C
0.0826774761080742,0.0213602781295776,1068.46069335938,0.0407461987659975,78510.8838,0.944262623786926,12106.889972696717,0.54,5569.16938744049,"Akron,Ohio",5 Yrs Ahead (2025-2030),2025-03-31,Class C
0.0709711536765099,0.0157340690493584,1948.33569335938,0.0231464127365479,268188.678,0.973742604255676,0.0,,0.0,"Albany,New York",5 Yrs Ahead (2025-2030),2025-03-31,Class A
0.0694310739636421,0.0561900772154331,2057.81274414063,0.0692684361803238,286765.6883,0.954870879650116,23579.345581833386,0.54,10846.498967643356,"Albany,New York",5 Yrs Ahead (2025-2030),2025-03-31,Class A
0.0681310743093491,0.0348378904163837,2129.50268554688,0.0588531217745593,303642.7443,0.963626205921173,24624.535120469864,0.54,11327.286155416137,"Albany,New York",5 Yrs Ahead (2025-2030),2025-03-31,Class A
0.0670310780405998,0.0305977780371904,2194.66064453125,0.0508797034935212,319091.9971,0.954629242420197,25141.04674149946,0.54,11564.88150108975,"Albany,New York",5 Yrs Ahead (2025-2030),2025-03-31,Class A
0.0657310783863068,0.0259497333317995,2251.61157226563,0.0488519184045662,334680.2533,0.950670421123505,25686.486259347883,0.54,11815.783679300026,"Albany,New York",5 Yrs Ahead (2025-2030),2025-03-31,Class A
0.0643310770392418,0.0238111615180969,2305.22509765625,0.0477064537808124,350646.6614,0.949397206306458,26262.891211468504,0.54,12080.929957275512,"Albany,New York",5 Yrs Ahead (2025-2030),2025-03-31,Class A
0.0754251629114151,0.0205367561429739,1705.40832519531,0.0204600032024,189038.498,0.942811727523804,0.0,,0.0,"Albany,New York",5 Yrs Ahead (2025-2030),2025-03-31,Class B
0.0739140510559082,0.0441532135009766,1780.70764160156,0.0655326554043369,201426.6927,0.952547788619995,20354.509514235513,0.54,9363.074376548335,"Albany,New York",5 Yrs Ahead (2025-2030),2025-03-31,Class B
