date_calculated,date_end,slice,state,city,market,cbsa,geo_code,population,current_price,loan,equity,market_cagr,noi_cap_rate_compounded,fixed_interest_rate,operation_cashflow,market_cap_appreciation_bp,irr,npv,equity_multiple,demand_vs_supply,demand_yoy_growth,supply_yoy_growth,horizon
2025-03-31,2030-03-31,Class B,Georgia,Atlanta,"Atlanta,Georgia",12060,G2-12060,6425237.0,199186.9416,139430.85911999998,59756.08248000001,0.04425042066947782,0.04141434220434872,0.07150000000000001,-0.03008565779565129,40.290877223014974,0.10191443465674355,9481.163031313423,1.6618020648883092,0.8902915888365981,0.016581787411346527,0.012331905687960054,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class C,Georgia,Atlanta,"Atlanta,Georgia",12060,G2-12060,6425237.0,125570.3851,87899.26956999999,37671.11553000001,0.042255958398351945,0.05264010768878671,0.07150000000000001,-0.0188598923112133,40.81707447767202,0.126764790673201,10688.639281778633,1.8095219154147806,0.8690393430399911,-0.008145224459781386,-0.005374751728320137,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class A,Georgia,Augusta,"Augusta,Georgia",12260,G2-12260,638031.125,171441.527,120009.0689,51432.4581,0.058059842933398054,0.04981927333369236,0.07150000000000001,-0.021680726666307645,58.64065140485694,0.1568530430635049,24254.973227939903,2.082898922150543,0.9261653191339032,0.02404873299468946,0.01839699342729073,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class B,Georgia,Augusta,"Augusta,Georgia",12260,G2-12260,638031.125,146045.0677,102231.54739,43813.52031000001,0.05763847093593366,0.04998022596927692,0.07150000000000002,-0.021519774030723103,61.569660902024076,0.15598832758663606,20452.20918033312,2.076787000930141,0.9046927755928079,0.01950734404602783,0.010525126454951295,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class C,Georgia,Augusta,"Augusta,Georgia",12260,G2-12260,638031.125,85107.6058,59575.32406,25532.281740000006,0.05524092281518245,0.05911860630087547,0.07150000000000001,-0.01238139369912454,63.45175206661197,0.17402713692934646,14209.456219603853,2.1793200841849836,0.8521759292053598,-0.002563942987089618,-0.00043867362035154844,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class A,Texas,Austin,"Austin,Texas",12420,G2-12420,2575485.0,264983.4231,185488.39617,79495.02693000002,0.06025729247568368,0.035788278800749106,0.07150000000000002,-0.035711721199250916,43.32289099693298,0.12716871178567946,24910.079964810386,1.8951396311782254,0.8872617735645423,0.04130057614387783,0.02986035193073988,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class B,Texas,Austin,"Austin,Texas",12420,G2-12420,2575485.0,217837.2538,152486.07765999998,65351.176140000025,0.05929545282292237,0.036344593237399095,0.07150000000000001,-0.03515540676260091,43.430551886559016,0.12605503911949856,20003.086500475532,1.8841902633753471,0.8737648268991484,0.04248857483343804,0.0296271832580417,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class C,Texas,Austin,"Austin,Texas",12420,G2-12420,2575485.0,142008.5522,99405.98654,42602.56566000001,0.05656933402400477,0.04423708700451343,0.07150000000000001,-0.027262912995486575,43.80952566862099,0.1394103835994347,15929.770618304217,1.958816840591941,0.8710778031261746,-0.005799983908063244,-0.0031657589275280174,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class A,California,Bakersfield,"Bakersfield,California",12540,G2-12540,923358.8125,290952.6053,203666.82371,87285.78159,0.05431574342111278,0.038330974721270256,0.07150000000000001,-0.03316902527872975,59.35043096542303,0.11914515004719206,22752.935270750342,1.8137733491524677,0.963637808784833,0.030646402354802538,0.03267230525833087,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class B,California,Bakersfield,"Bakersfield,California",12540,G2-12540,923358.8125,141306.1365,98914.29555,42391.84095,0.05329864795848338,0.06386130373894021,0.07150000000000001,-0.007638696261059799,59.796124696731916,0.18163831341051218,25100.892518949404,2.2183735855634796,0.9523933231560217,0.005158305181661493,0.002556615089849945,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class C,California,Bakersfield,"Bakersfield,California",12540,G2-12540,923358.8125,100342.8234,70239.97638,30102.84702,0.05326841366459112,0.06470205187965228,0.07150000000000001,-0.00679794812034773,60.35409867763505,0.18373565617417253,18154.258830121988,2.2317658574420753,0.9525485375430485,4.6947217463788604e-05,-0.00024307941559742474,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class A,Maryland,Baltimore,"Baltimore,Maryland",12580,G2-12580,2864885.0,292165.4533,204515.81730999998,87649.63599000001,0.052477569899476606,0.0423055593323781,0.0715,-0.029194440667621897,51.85574293136604,0.12467978792037271,25237.06700120549,1.8422936487422419,0.9196316374702921,0.03560475394415019,0.028367871258039523,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class B,Maryland,Baltimore,"Baltimore,Maryland",12580,G2-12580,2864885.0,190518.9985,133363.29895,57155.69954999999,0.053168438908212545,0.051864446855368763,0.07150000000000001,-0.019635553144631245,52.03869193792301,0.15053754486448812,24427.213225546395,2.0157554950017524,0.9394946211111861,0.006547789002329107,0.005432073557854578,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class C,Maryland,Baltimore,"Baltimore,Maryland",12580,G2-12580,2864885.0,133933.5574,93753.49018,40180.06722,0.05192277785096633,0.05908980189785928,0.07150000000000001,-0.01241019810214073,52.02472209930503,0.16619274572733134,20386.330375206693,2.1106973039020676,0.9322753983907178,7.406647779606423e-05,-0.00042375904894065286,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class A,Louisiana,Baton Rouge,"Baton Rouge,Louisiana",12940,G2-12940,864755.625,172783.6311,120948.54177,51835.08933,0.05328865516690473,0.04604879921588775,0.07150000000000001,-0.02545120078411226,59.39528346061692,0.13615797414279784,18171.822707279032,1.9212935198158476,0.9036003607699101,0.025869923468840428,0.019381955394775385,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class B,Louisiana,Baton Rouge,"Baton Rouge,Louisiana",12940,G2-12940,864755.625,132461.5753,92723.10270999999,39738.472590000005,0.05223561186922576,0.051698309562835415,0.0715,-0.01980169043716458,59.48305130004897,0.1477538507175571,16338.933541726372,1.9938936409024206,0.8879057654904486,0.024173238350613024,0.02189567578450169,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class C,Louisiana,Baton Rouge,"Baton Rouge,Louisiana",12940,G2-12940,864755.625,74159.6591,51911.76137,22247.897730000004,0.045867631676293596,0.059788797105538055,0.07150000000000001,-0.011711202894461953,59.481486678123055,0.15435152640577998,9593.175741603958,2.0001928513428955,0.8131909781988912,-0.002079021904193956,-0.0004817254147841954,5 Yrs Ahead (2025-2030)
